document_id,title,theme,culture_region,text,origin,source_url,license
ext_001,The Spider and the Sky God's Stories,trickster,west_africa,"Long ago the sky held all the world's stories, and Anansi begged Nyame the sky god to sell them. Nyame set an impossible price: capture the python who swallows trees, the hornets who sting like fire, and the leopard with teeth like spears. Anansi tricked each one with patience rather than strength, and Nyame handed over every tale that people now tell by firelight. Cleverness bought what no spear could win.",traditional_motif_retold,https://wilderutopia.com/traditions/myth/ashanti-of-ghana-how-spider-obtained-the-sky-gods-stories/,CC0-1.0
ext_002,The Net Mended by Many Hands,community_wisdom,west_africa,"A fisherman's net tore before the tide turned, and neighbors mended it together without being asked. When his catch was heavy that season, he set aside a share for each hand that had helped, though none had asked for payment. Elders say a net mended by many hands catches more than one man's labor ever could.",traditional_style,,CC0-1.0
ext_009,Why the Sky Is Far Away,origin_myth,west_africa,"Long ago the sky hung so close that any hungry person could break off a piece to eat, tasting of stew or roasted corn. People grew careless with the gift, taking more than they needed and tossing the rest aside. The sky grew angry at the waste and rose far out of reach, and from that day the people learned to plant and tend their own fields.",traditional_motif_retold,https://www.goodreads.com/book/show/580458.Why_The_Sky_Is_Far_Away,CC0-1.0
ext_010,The Weaver's Shared Bread,hero_journey,west_africa,"A young weaver left her village during the dry season to trade cloth for grain in a distant market three days' walk away. She shared half her bread with a stranger who had lost his own on the road, and he later guided her home through a shortcut past the flooded crossing. She returned with grain enough for two households, and the elders say a hero's journey is measured by who walks beside you at the end.",traditional_style,,CC0-1.0
ext_003,Hare's Tug of War,animal_fable,east_africa,"Hare grew tired of Elephant and Hippo mocking his size, so he wove a strong rope from forest vines. He gave one end to Elephant and the other to Hippo, telling each he would pull from the middle at a signal. Both animals strained for hours, certain they battled Hare alone, until they met face to face and understood the trick. Small wit outlasts great strength when neither giant can see the other.",traditional_motif_retold,https://combonimissionaries.ie/2022/06/23/oral-literature-hippopotamus-and-elephant-test-their-strength/,CC0-1.0
ext_004,The Well in the Dry Season,moral_tale,east_africa,"A herder refused to share his well during the dry months, turning away even the oldest women in the village. When his own cattle grew thirsty at a stranger's well, he was met with the same silence he had once given. The elders say a closed hand in the dry season is remembered long after the rains return.",traditional_style,,CC0-1.0
ext_011,The Jackal's Grain Store,trickster,east_africa,"Jackal promised the farmer he would guard the grain store through the harvest season in exchange for a single measure of millet each week. Each night he ate two measures instead of one, blaming the theft on passing birds until the farmer set a hidden watch and caught him mid-bite. The farmer says a guard who feeds himself first was never truly guarding anything at all.",traditional_style,,CC0-1.0
ext_012,The Song That Calls the Rain,origin_myth,east_africa,"When the first drought stretched across the plains, the animals gathered to ask why the rivers had gone quiet and the grass had turned to dust. Tortoise remembered a song his grandmother once sang to call the rain, and he taught it to every creature who would listen at the waterhole. The elders say the rains still answer that old song, carried forward by whoever remembers to sing it.",traditional_style,,CC0-1.0
ext_005,Tortoise and the Eagle,animal_fable,central_africa,"When Tortoise's wife grew pregnant, he brought her food from every corner of the forest to satisfy her cravings. Eagle, his oldest friend, visited him daily, flying down from the high cliffs each time, though Tortoise never once made the long, difficult journey back. One day Eagle asked gently why the friendship only traveled in one direction. Tortoise had no answer, only the truth of his short legs and the far distance, and the friendship continued, uneven but unbroken.",traditional_motif_retold,https://georgebransonstories.wordpress.com/2015/11/09/the-tortoise-and-the-eagle-a-mostly-authentic-congolese-fable/,CC0-1.0
ext_006,The Spider's Night,origin_myth,central_africa,"Before there was night, the forest canopy never closed and no creature could rest from the endless light. Spider wove a great dark web across the sky each evening, releasing it only when Rooster called for morning. The elders say darkness is not empty but a gift woven so tired eyes could finally close.",traditional_style,,CC0-1.0
ext_013,The Hyena's Hidden Cache,moral_tale,central_africa,"Hyena promised the other animals he would share whatever meat he found on his hunts, but he began hiding the best portions before anyone could see. The animals grew suspicious when his stories about empty traps never matched the fat on his belly, and they followed him quietly one evening to his hidden cache. From that day the animals hunted apart from Hyena, and the community says a shared promise broken once is rarely offered twice.",traditional_style,,CC0-1.0
ext_014,The Second Canoe,community_wisdom,central_africa,"During the long rains, a single canoe was not enough to carry grain across the swollen river to the market on the far bank. Families who had quarreled for seasons over land boundaries lent their labor to build a second canoe together, working side by side until the crossing was finished. The village says a full harvest matters less than the hands that carried it safely across.",traditional_style,,CC0-1.0
ext_007,The Moon and the Hare's Message,origin_myth,southern_africa,"The Moon once sent Hare to tell the people they would die and rise again, just as the Moon itself always returns. Hare ran swiftly but garbled the message, telling the people death would be final and without return. Moon struck Hare across the mouth in fury, splitting his lip forever, and that is why hares still run in fear beneath a watching sky.",traditional_motif_retold,https://mythopedia.com/topics/kaggen/,CC0-1.0
ext_008,The Herder's Long Path Home,hero_journey,southern_africa,"A young herder set out alone to track cattle stolen in a raid, following hoofprints across three dry riverbeds before the rains came. He returned home leading not only his own herd but two lost calves from a neighboring village he passed on the way. The elders say a hero's path is measured by what he carries back for others, not for himself.",traditional_style,,CC0-1.0
ext_015,"Chameleon, Lizard, and the Message of Death",moral_tale,southern_africa,"Unkulunkulu sent slow Chameleon to tell the people they would never die, but grew impatient waiting and sent swift Lizard after him with the opposite message. Lizard reached the people first and told them death was certain, and by the time Chameleon arrived, breathless, no one believed his gentler words. The elders say mortality came not as punishment but as an accident of who arrived first, and so the people became ancestors instead of vanishing.",traditional_motif_retold,https://godsandmonsters.info/welcome-to-gods-and-monsters/zulu-mythology/,CC0-1.0
ext_016,Tortoise and Baboon's Long Way Around,trickster,southern_africa,"Baboon offered to share his evening meal with tired Tortoise, but led him on a long, uphill path just to watch him struggle and arrive too late to eat. Tortoise said nothing that night, but the next season, when Baboon came hungry to his door, Tortoise led him the long way around the marsh before serving a meal already cold. The San elders say a trick returned in kind teaches faster than any lecture ever could.",traditional_motif_retold,https://www.gateway-africa.com/stories/Tortoise_and_the_Baboon.html,CC0-1.0
